;uuid;giorno_min;giorno_max;durata_vita;conteggio_giorni_totale;site_giallozafferano;site_repubblica;site_subito;site_ansa;site_kijiji;site_corriere;site_ebay;site_pianetadonna;site_aranzulla;site_greenme;site_gazzetta;site_sole24ore;site_pourfemme;site_alfemminile;site_corrieresport;site_cookaround;site_autoscout;site_staseratv;prima_citta;browser_name;device_name;os_name
42;43;13/10/18;14/06/19;245;124;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
43;44;06/05/19;14/06/19;40;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-NA;Edge;Desktop and Laptop;Windows 10
44;45;07/02/19;13/06/19;127;37;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;ITA-FE;Chrome Mobile;Mobile;Android
45;46;19/05/19;19/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
46;47;28/05/19;28/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PD;Chrome Mobile;Mobile;Android
47;48;14/06/19;14/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-NA;Chrome Mobile;Mobile;Android
48;49;22/03/19;28/05/19;68;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
49;50;11/06/19;11/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-NA;Mobile Safari 12;Mobile;iPhone
50;51;10/06/19;10/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
51;52;17/05/19;08/06/19;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Firefox 4+;Desktop and Laptop;Windows 7
52;53;14/06/19;14/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-CE;Chrome Mobile;Mobile;Android
53;54;02/11/17;16/06/19;592;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BO;;Mobile;iPhone
54;55;31/05/19;31/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BO;Chrome;Desktop and Laptop;Windows 7
55;56;29/05/19;29/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Explorer 11;Desktop and Laptop;Windows 7
56;57;21/05/19;29/05/19;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-IS;Mobile Safari 12;Mobile;iPhone
57;58;16/06/19;16/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
58;59;10/06/19;10/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FC;Firefox 4+;Desktop and Laptop;Windows 10
59;60;27/05/19;16/06/19;21;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome;Desktop and Laptop;Windows 10
60;61;20/03/19;14/06/19;87;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Chrome Mobile;Mobile;
61;62;07/04/19;14/06/19;69;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-SP;Chrome;Desktop and Laptop;Windows 7
62;63;15/06/19;15/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Mobile Safari 12;Mobile;iPhone
63;64;16/05/19;16/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MO;Mobile Safari 12;Mobile;iPhone
64;65;15/06/19;15/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Mobile Safari 12;Mobile;iPhone
65;66;05/06/19;05/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome;Desktop and Laptop;Windows 7
66;67;16/05/19;16/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PV;Mobile Safari 12;Mobile;iPhone
67;68;13/05/19;19/05/19;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome;Desktop and Laptop;Windows 8
68;69;12/06/19;12/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-OR;Chrome Mobile;Mobile;Android
69;70;16/05/19;16/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FG;Chrome;Desktop and Laptop;Windows 10
70;71;05/06/17;15/06/19;741;354;2;0;0;3;0;0;0;0;1;1;0;0;0;3;1;0;0;1;ITA-MI;Chrome Mobile;Mobile;Android
71;72;12/06/19;12/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Firefox 4+;Desktop and Laptop;Mac OS X
72;73;27/05/19;27/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Firefox 4+;Desktop and Laptop;Ubuntu
73;74;24/04/19;24/05/19;31;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Explorer 11;Desktop and Laptop;Windows 8.1
74;75;25/05/19;26/05/19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-SI;Firefox 4+;Desktop and Laptop;Windows 10
75;76;13/06/19;13/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-VA;Mobile Safari 12;Mobile;iPhone
76;77;09/02/19;01/06/19;113;70;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MO;Chrome Mobile;Mobile;Android
77;78;15/06/19;16/06/19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RE;Mobile Safari 8;Tablet;iPad
78;79;26/05/19;26/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
79;80;15/02/19;29/05/19;104;39;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;ITA-MI;Chrome Mobile;Mobile;Android
80;81;07/06/19;07/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-VI;Chrome Mobile;Mobile;Android
81;82;27/05/19;03/06/19;8;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;ITA-TO;Chrome;Desktop and Laptop;Windows 10
82;83;16/06/19;16/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BS;Chrome Mobile;Mobile;Android
83;84;12/05/19;29/05/19;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-UD;Safari 9;Desktop and Laptop;Mac OS X
84;85;17/05/19;17/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-SI;Chrome;Desktop and Laptop;Windows 10
85;86;06/06/19;11/06/19;6;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
86;87;14/06/19;14/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-CB;Safari 12;Desktop and Laptop;Mac OS X
87;88;07/05/19;14/06/19;39;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;ITA-FI;Chrome;Desktop and Laptop;Windows 10
88;89;07/05/19;16/06/19;41;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;;;Android
89;90;21/06/18;14/06/19;359;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
90;91;07/04/19;15/06/19;70;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PA;Chrome;Desktop and Laptop;Windows 8.1
91;92;14/06/19;14/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Safari 12;Desktop and Laptop;Mac OS X
92;93;11/06/19;11/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 11;Mobile;iPhone
93;94;06/06/19;06/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MB;Chrome Mobile;Mobile;Android
94;95;05/06/19;08/06/19;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PA;Chrome Mobile;Mobile;Android
95;96;15/06/19;15/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TV;Mobile Safari 12;Mobile;iPhone
96;97;08/06/19;15/06/19;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-SA;Edge;Desktop and Laptop;Windows 10
97;98;24/05/19;27/05/19;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
98;99;05/06/19;05/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BS;Mobile Safari 11;Tablet;iPad
99;100;18/05/19;18/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;ITA-BG;Mobile Safari 12;Tablet;iPad
100;101;25/05/19;25/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BZ;Mobile Safari 11;Tablet;iPad
101;102;04/06/19;16/06/19;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 11;Mobile;iPhone
102;103;31/05/19;16/06/19;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-CT;Chrome Mobile;Mobile;Android
103;104;01/06/19;01/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-CO;Chrome;Desktop and Laptop;Windows 10
104;105;24/05/19;24/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Mobile Safari 12;Mobile;iPhone
105;106;04/06/19;16/06/19;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
106;107;12/03/19;07/06/19;88;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome Mobile;Mobile;Android
107;108;17/05/19;17/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Mobile Safari 11;Mobile;iPhone
108;109;26/03/19;13/06/19;80;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FC;Mobile Safari 12;Mobile;iPhone
109;110;17/05/19;17/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome;Desktop and Laptop;
110;111;19/05/19;10/06/19;23;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BG;Chrome Mobile;Mobile;Android
111;112;04/05/19;19/05/19;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Chrome Mobile;Mobile;Android
112;113;05/05/19;10/06/19;37;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;ITA-TO;Chrome Mobile;Mobile;Android
113;114;12/06/19;13/06/19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PR;Chrome;Desktop and Laptop;Windows 7
114;115;30/06/18;04/06/19;340;67;0;6;1;0;0;1;17;1;0;0;2;1;0;0;0;0;0;4;ITA-MI;Mobile Safari 10;Mobile;iPhone
115;116;24/05/19;08/06/19;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PA;Chrome Mobile;Mobile;Android
116;117;12/06/19;15/06/19;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BS;Mobile Safari 12;Mobile;iPhone
117;118;21/05/19;21/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Safari 12;Desktop and Laptop;Mac OS X
118;119;03/06/19;03/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Chrome Mobile;Mobile;Android
119;120;09/04/19;02/06/19;55;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;ITA-MN;Chrome Mobile;Mobile;Android
120;121;12/06/19;12/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TV;Chrome Mobile;Mobile;Android
121;122;22/05/19;14/06/19;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PN;Firefox 4+;Desktop and Laptop;Mac OS X
122;123;10/06/19;10/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-NA;Mobile Safari 12;Mobile;iPhone
123;124;06/06/19;06/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Opera 15+;Mobile;Android
124;125;30/05/19;30/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PC;Mobile Safari 12;Mobile;iPhone
125;126;02/06/19;03/06/19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-NA;Mobile Safari 12;Mobile;iPhone
126;127;10/01/19;16/06/19;158;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MO;Chrome Mobile;Mobile;Android
127;128;12/06/19;12/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
128;129;04/06/19;04/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Mobile Safari 12;Mobile;iPhone
129;130;18/12/18;06/06/19;171;27;0;0;2;0;0;40;2;0;0;0;0;0;0;0;2;0;0;0;ITA-RM;Chrome;Desktop and Laptop;Windows 7
130;131;07/06/19;08/06/19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-SA;Chrome Mobile;Mobile;Android
131;132;17/12/17;13/06/19;544;177;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ITA-VE;;Mobile;iPhone
132;133;22/06/18;16/06/19;360;293;2;3;0;7;5;2;0;0;9;0;0;0;0;9;0;0;0;3;ITA-MI;;;
133;134;11/05/19;12/06/19;33;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Chrome;Tablet;Android
134;135;11/04/19;16/06/19;67;28;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;ITA-NA;Chrome Mobile;Mobile;Android
135;136;16/05/19;16/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Explorer 11;Desktop and Laptop;Windows 7
136;137;16/05/19;20/05/19;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Explorer 11;Desktop and Laptop;Windows 7
137;138;31/05/19;05/06/19;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-FG;Chrome Mobile;Mobile;Android
138;139;09/06/17;14/06/19;736;224;0;0;0;0;1;1;0;0;0;0;1;6;0;3;0;0;0;0;ITA-MI;Edge;Desktop and Laptop;Windows 10
139;140;19/05/19;19/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
140;141;03/06/19;03/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Safari 11;Desktop and Laptop;Mac OS X
141;142;10/06/19;11/06/19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-ME;Chrome Mobile;Mobile;Android
142;143;08/06/19;08/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-AG;Explorer 11;Desktop and Laptop;Windows 7
143;144;21/04/19;15/06/19;56;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PI;Chrome;Desktop and Laptop;Windows 7
144;145;24/04/19;20/05/19;27;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-GR;Firefox 4+;Desktop and Laptop;Windows 10
145;146;16/05/19;16/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-LT;Chrome;Desktop and Laptop;Windows 10
146;147;31/05/19;13/06/19;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Chrome Mobile;Mobile;Android
147;148;18/05/19;18/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Edge;Desktop and Laptop;Windows 10
148;149;15/05/19;16/05/19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Chrome;Desktop and Laptop;Windows 7
149;150;28/03/19;15/06/19;80;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 12;Mobile;iPhone
150;151;28/05/19;02/06/19;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-NO;Chrome Mobile;Mobile;Android
151;152;23/05/19;23/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Mobile Safari 12;Tablet;iPad
152;153;27/05/19;27/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Chrome Mobile;Mobile;Android
153;154;04/06/19;04/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TO;Safari 12;Desktop and Laptop;Mac OS X
154;155;18/05/19;25/05/19;8;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;Edge;Desktop and Laptop;Windows 10
155;156;19/05/19;19/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-PN;Mobile Safari 12;Tablet;iPad
156;157;20/05/19;20/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Edge;Desktop and Laptop;Windows 10
157;158;11/06/19;11/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 10;Tablet;iPad
158;159;01/03/19;15/06/19;107;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-RM;Chrome Mobile;Mobile;Android
159;160;26/04/19;04/06/19;40;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mobile Safari 7;Mobile;iPhone
160;161;23/05/19;26/05/19;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Safari 12;Desktop and Laptop;Mac OS X
161;162;28/05/19;28/05/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-TP;Firefox 4+;Desktop and Laptop;Windows 10
162;163;11/06/19;11/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Mobile Safari 10;Tablet;iPad
163;164;15/06/19;15/06/19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
164;165;14/08/18;14/06/19;305;72;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;ITA-BG;Explorer 11;Desktop and Laptop;Windows 10
165;166;18/01/18;12/06/19;511;186;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITA-MI;Chrome Mobile;Mobile;Android
166;167;06/12/17;16/06/19;558;269;2;2;0;3;2;0;3;0;1;0;0;1;0;7;0;0;0;2;ITA-CB;;;
167;168;19/01/19;06/06/19;139;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;ITA-RM;Chrome Mobile;Mobile;Android
